Compound,intercept_s,slope_s_per_lap,n,rmse_s
HARD,85.22834062450671,-0.01137758786236561,220,0.9150755200089042
MEDIUM,84.40000759597636,0.015816344810173962,622,1.0977801296070144
SOFT,83.75933125666654,0.06015122664243576,260,1.3461077239475943
