Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 01:44:34.191000,ALO,14,0 days 00:01:25.740000,29.0,2.0,,,0 days 00:00:30.572000,0 days 00:00:31.023000,0 days 00:00:24.145000,0 days 01:43:39.050000,0 days 01:44:10.073000,0 days 01:44:34.218000,270.0,235.0,240.0,280.0,False,HARD,8.0,True,Alpine,0 days 01:43:08.451000,2022-07-31 13:44:08.829,1,11.0,False,,False,True
0 days 01:45:59.736000,ALO,14,0 days 00:01:25.545000,30.0,2.0,,,0 days 00:00:30.368000,0 days 00:00:30.885000,0 days 00:00:24.292000,0 days 01:45:04.586000,0 days 01:45:35.471000,0 days 01:45:59.763000,272.0,233.0,243.0,279.0,False,HARD,9.0,True,Alpine,0 days 01:44:34.191000,2022-07-31 13:45:34.569,1,11.0,False,,False,True
0 days 01:47:26.571000,ALO,14,0 days 00:01:26.835000,31.0,2.0,,,0 days 00:00:31.426000,0 days 00:00:31.223000,0 days 00:00:24.186000,0 days 01:46:31.189000,0 days 01:47:02.412000,0 days 01:47:26.598000,,233.0,244.0,280.0,False,HARD,10.0,True,Alpine,0 days 01:45:59.736000,2022-07-31 13:47:00.114,1,12.0,False,,False,True
0 days 01:48:51.943000,ALO,14,0 days 00:01:25.372000,32.0,2.0,,,0 days 00:00:30.368000,0 days 00:00:30.983000,0 days 00:00:24.021000,0 days 01:47:56.966000,0 days 01:48:27.949000,0 days 01:48:51.970000,269.0,230.0,241.0,282.0,False,HARD,11.0,True,Alpine,0 days 01:47:26.571000,2022-07-31 13:48:26.949,1,12.0,False,,False,True
0 days 01:50:16.733000,ALO,14,0 days 00:01:24.790000,33.0,2.0,,,0 days 00:00:30.301000,0 days 00:00:30.553000,0 days 00:00:23.936000,0 days 01:49:22.271000,0 days 01:49:52.824000,0 days 01:50:16.760000,270.0,236.0,243.0,280.0,False,HARD,12.0,True,Alpine,0 days 01:48:51.943000,2022-07-31 13:49:52.321,1,12.0,False,,False,True
0 days 01:51:41.648000,ALO,14,0 days 00:01:24.915000,34.0,2.0,,,0 days 00:00:30.241000,0 days 00:00:30.673000,0 days 00:00:24.001000,0 days 01:50:47.001000,0 days 01:51:17.674000,0 days 01:51:41.675000,273.0,237.0,242.0,282.0,False,HARD,13.0,True,Alpine,0 days 01:50:16.733000,2022-07-31 13:51:17.111,12,12.0,False,,False,True
0 days 01:53:07.436000,ALO,14,0 days 00:01:25.788000,35.0,2.0,,,0 days 00:00:30.301000,0 days 00:00:31.079000,0 days 00:00:24.408000,0 days 01:52:11.976000,0 days 01:52:43.055000,0 days 01:53:07.463000,272.0,231.0,241.0,,False,HARD,14.0,True,Alpine,0 days 01:51:41.648000,2022-07-31 13:52:42.026,21,12.0,False,,False,True
0 days 01:54:33.189000,ALO,14,0 days 00:01:25.753000,36.0,2.0,,,0 days 00:00:30.847000,0 days 00:00:30.987000,0 days 00:00:23.919000,0 days 01:53:38.310000,0 days 01:54:09.297000,0 days 01:54:33.216000,273.0,235.0,243.0,281.0,False,HARD,15.0,True,Alpine,0 days 01:53:07.436000,2022-07-31 13:54:07.814,1,12.0,False,,False,True
0 days 01:55:58.249000,ALO,14,0 days 00:01:25.060000,37.0,2.0,,,0 days 00:00:30.512000,0 days 00:00:30.789000,0 days 00:00:23.759000,0 days 01:55:03.728000,0 days 01:55:34.517000,0 days 01:55:58.276000,271.0,236.0,242.0,280.0,False,HARD,16.0,True,Alpine,0 days 01:54:33.189000,2022-07-31 13:55:33.567,1,12.0,False,,False,True
0 days 01:57:23.553000,ALO,14,0 days 00:01:25.304000,38.0,2.0,,,0 days 00:00:30.527000,0 days 00:00:30.895000,0 days 00:00:23.882000,0 days 01:56:28.803000,0 days 01:56:59.698000,0 days 01:57:23.580000,270.0,236.0,242.0,,False,HARD,17.0,True,Alpine,0 days 01:55:58.249000,2022-07-31 13:56:58.627,1,12.0,False,,False,True
0 days 01:58:48.019000,ALO,14,0 days 00:01:24.466000,39.0,2.0,,,0 days 00:00:30.254000,0 days 00:00:30.443000,0 days 00:00:23.769000,0 days 01:57:53.834000,0 days 01:58:24.277000,0 days 01:58:48.046000,273.0,234.0,249.0,,True,HARD,18.0,True,Alpine,0 days 01:57:23.553000,2022-07-31 13:58:23.931,1,12.0,False,,False,True
0 days 02:00:12.855000,ALO,14,0 days 00:01:24.836000,40.0,2.0,,,0 days 00:00:29.882000,0 days 00:00:30.880000,0 days 00:00:24.074000,0 days 01:59:17.928000,0 days 01:59:48.808000,0 days 02:00:12.882000,276.0,235.0,246.0,294.0,False,HARD,19.0,True,Alpine,0 days 01:58:48.019000,2022-07-31 13:59:48.397,1,12.0,False,,False,True
0 days 02:01:37.190000,ALO,14,0 days 00:01:24.335000,41.0,2.0,,,0 days 00:00:30.127000,0 days 00:00:30.504000,0 days 00:00:23.704000,0 days 02:00:43.009000,0 days 02:01:13.513000,0 days 02:01:37.217000,273.0,237.0,244.0,,True,HARD,20.0,True,Alpine,0 days 02:00:12.855000,2022-07-31 14:01:13.233,12,11.0,False,,False,True
0 days 02:03:01.826000,ALO,14,0 days 00:01:24.636000,42.0,2.0,,,0 days 00:00:30.084000,0 days 00:00:30.691000,0 days 00:00:23.861000,0 days 02:02:07.301000,0 days 02:02:37.992000,0 days 02:03:01.853000,274.0,236.0,242.0,279.0,False,HARD,21.0,True,Alpine,0 days 02:01:37.190000,2022-07-31 14:02:37.568,1,11.0,False,,False,True
0 days 02:04:26.937000,ALO,14,0 days 00:01:25.111000,43.0,2.0,,,0 days 00:00:30.235000,0 days 00:00:30.802000,0 days 00:00:24.074000,0 days 02:03:32.088000,0 days 02:04:02.890000,0 days 02:04:26.964000,275.0,235.0,247.0,280.0,False,HARD,22.0,True,Alpine,0 days 02:03:01.826000,2022-07-31 14:04:02.204,1,11.0,False,,False,True
0 days 02:05:52.288000,ALO,14,0 days 00:01:25.351000,44.0,2.0,,,0 days 00:00:30.086000,0 days 00:00:31.197000,0 days 00:00:24.068000,0 days 02:04:57.050000,0 days 02:05:28.247000,0 days 02:05:52.315000,276.0,231.0,241.0,298.0,False,HARD,23.0,True,Alpine,0 days 02:04:26.937000,2022-07-31 14:05:27.315,1,11.0,False,,False,True
0 days 02:07:17.393000,ALO,14,0 days 00:01:25.105000,45.0,2.0,,,0 days 00:00:30.229000,0 days 00:00:30.966000,0 days 00:00:23.910000,0 days 02:06:22.544000,0 days 02:06:53.510000,0 days 02:07:17.420000,277.0,235.0,247.0,281.0,False,HARD,24.0,True,Alpine,0 days 02:05:52.288000,2022-07-31 14:06:52.666,1,11.0,False,,False,True
0 days 02:08:42.722000,ALO,14,0 days 00:01:25.329000,46.0,2.0,,,0 days 00:00:30.386000,0 days 00:00:30.937000,0 days 00:00:24.006000,0 days 02:07:47.806000,0 days 02:08:18.743000,0 days 02:08:42.749000,275.0,235.0,246.0,297.0,False,HARD,25.0,True,Alpine,0 days 02:07:17.393000,2022-07-31 14:08:17.771,1,10.0,False,,False,True
0 days 02:10:06.701000,ALO,14,0 days 00:01:23.979000,47.0,2.0,,,0 days 00:00:29.886000,0 days 00:00:30.286000,0 days 00:00:23.807000,0 days 02:09:12.635000,0 days 02:09:42.921000,0 days 02:10:06.728000,270.0,238.0,243.0,292.0,True,HARD,26.0,True,Alpine,0 days 02:08:42.722000,2022-07-31 14:09:43.100,12,8.0,False,,False,True
0 days 02:11:31.234000,ALO,14,0 days 00:01:24.533000,48.0,2.0,,,0 days 00:00:30.100000,0 days 00:00:30.490000,0 days 00:00:23.943000,0 days 02:10:36.828000,0 days 02:11:07.318000,0 days 02:11:31.261000,272.0,234.0,243.0,277.0,False,HARD,27.0,True,Alpine,0 days 02:10:06.701000,2022-07-31 14:11:07.079,1,8.0,False,,False,True
0 days 02:12:55.443000,ALO,14,0 days 00:01:24.209000,49.0,2.0,,,0 days 00:00:30.126000,0 days 00:00:30.059000,0 days 00:00:24.024000,0 days 02:12:01.387000,0 days 02:12:31.446000,0 days 02:12:55.470000,271.0,234.0,242.0,278.0,False,HARD,28.0,True,Alpine,0 days 02:11:31.234000,2022-07-31 14:12:31.612,1,8.0,False,,False,True
0 days 02:14:20.070000,ALO,14,0 days 00:01:24.627000,50.0,2.0,,,0 days 00:00:30.425000,0 days 00:00:30.471000,0 days 00:00:23.731000,0 days 02:13:25.895000,0 days 02:13:56.366000,0 days 02:14:20.097000,272.0,234.0,242.0,276.0,False,HARD,29.0,True,Alpine,0 days 02:12:55.443000,2022-07-31 14:13:55.821,1,8.0,False,,False,True
0 days 02:15:44.330000,ALO,14,0 days 00:01:24.260000,51.0,2.0,,,0 days 00:00:30.203000,0 days 00:00:30.158000,0 days 00:00:23.899000,0 days 02:14:50.300000,0 days 02:15:20.458000,0 days 02:15:44.357000,,238.0,242.0,,False,HARD,30.0,True,Alpine,0 days 02:14:20.070000,2022-07-31 14:15:20.448,1,8.0,False,,False,True
0 days 02:17:08.344000,ALO,14,0 days 00:01:24.014000,52.0,2.0,,,0 days 00:00:30.198000,0 days 00:00:30.223000,0 days 00:00:23.593000,0 days 02:16:14.555000,0 days 02:16:44.778000,0 days 02:17:08.371000,271.0,238.0,244.0,277.0,False,HARD,31.0,True,Alpine,0 days 02:15:44.330000,2022-07-31 14:16:44.708,1,8.0,False,,False,True
0 days 02:18:32.993000,ALO,14,0 days 00:01:24.649000,53.0,2.0,,,0 days 00:00:30.485000,0 days 00:00:30.382000,0 days 00:00:23.782000,0 days 02:17:38.856000,0 days 02:18:09.238000,0 days 02:18:33.020000,273.0,237.0,242.0,276.0,False,HARD,32.0,True,Alpine,0 days 02:17:08.344000,2022-07-31 14:18:08.722,1,8.0,False,,False,True
0 days 02:19:57.393000,ALO,14,0 days 00:01:24.400000,54.0,2.0,,,0 days 00:00:30.105000,0 days 00:00:30.588000,0 days 00:00:23.707000,0 days 02:19:03.125000,0 days 02:19:33.713000,0 days 02:19:57.420000,,236.0,241.0,277.0,False,HARD,33.0,True,Alpine,0 days 02:18:32.993000,2022-07-31 14:19:33.371,1,8.0,False,,False,True
0 days 02:21:21.825000,ALO,14,0 days 00:01:24.432000,55.0,2.0,,,0 days 00:00:30.355000,0 days 00:00:30.421000,0 days 00:00:23.656000,0 days 02:20:27.775000,0 days 02:20:58.196000,0 days 02:21:21.852000,271.0,238.0,243.0,275.0,False,HARD,34.0,True,Alpine,0 days 02:19:57.393000,2022-07-31 14:20:57.771,1,8.0,False,,False,True
0 days 02:22:46.147000,ALO,14,0 days 00:01:24.322000,56.0,2.0,,,0 days 00:00:30.263000,0 days 00:00:30.425000,0 days 00:00:23.634000,0 days 02:21:52.115000,0 days 02:22:22.540000,0 days 02:22:46.174000,,237.0,244.0,280.0,False,HARD,35.0,True,Alpine,0 days 02:21:21.825000,2022-07-31 14:22:22.203,1,8.0,False,,False,True
0 days 02:24:11.045000,ALO,14,0 days 00:01:24.898000,57.0,2.0,,,0 days 00:00:30.485000,0 days 00:00:30.563000,0 days 00:00:23.850000,0 days 02:23:16.659000,0 days 02:23:47.222000,0 days 02:24:11.072000,,236.0,243.0,277.0,False,HARD,36.0,True,Alpine,0 days 02:22:46.147000,2022-07-31 14:23:46.525,1,8.0,False,,False,True
0 days 02:25:35.878000,ALO,14,0 days 00:01:24.833000,58.0,2.0,,,0 days 00:00:30.288000,0 days 00:00:30.920000,0 days 00:00:23.625000,0 days 02:24:41.360000,0 days 02:25:12.280000,0 days 02:25:35.905000,275.0,238.0,244.0,278.0,False,HARD,37.0,True,Alpine,0 days 02:24:11.045000,2022-07-31 14:25:11.423,1,8.0,False,,False,True
0 days 02:27:00.255000,ALO,14,0 days 00:01:24.377000,59.0,2.0,,,0 days 00:00:30.468000,0 days 00:00:30.167000,0 days 00:00:23.742000,0 days 02:26:06.373000,0 days 02:26:36.540000,0 days 02:27:00.282000,273.0,240.0,243.0,276.0,False,HARD,38.0,True,Alpine,0 days 02:25:35.878000,2022-07-31 14:26:36.256,1,8.0,False,,False,True
0 days 02:28:24.641000,ALO,14,0 days 00:01:24.386000,60.0,2.0,,,0 days 00:00:30.581000,0 days 00:00:30.141000,0 days 00:00:23.664000,0 days 02:27:30.863000,0 days 02:28:01.004000,0 days 02:28:24.668000,272.0,239.0,243.0,277.0,False,HARD,39.0,True,Alpine,0 days 02:27:00.255000,2022-07-31 14:28:00.633,1,8.0,False,,False,True
0 days 02:29:49.734000,ALO,14,0 days 00:01:25.093000,61.0,2.0,,,0 days 00:00:30.646000,0 days 00:00:30.576000,0 days 00:00:23.871000,0 days 02:28:55.314000,0 days 02:29:25.890000,0 days 02:29:49.761000,274.0,237.0,245.0,,False,HARD,40.0,True,Alpine,0 days 02:28:24.641000,2022-07-31 14:29:25.019,1,8.0,False,,False,True
0 days 02:31:14.460000,ALO,14,0 days 00:01:24.726000,62.0,2.0,,,0 days 00:00:30.184000,0 days 00:00:30.688000,0 days 00:00:23.854000,0 days 02:30:19.945000,0 days 02:30:50.633000,0 days 02:31:14.487000,273.0,240.0,245.0,281.0,False,HARD,41.0,True,Alpine,0 days 02:29:49.734000,2022-07-31 14:30:50.112,1,8.0,False,,False,True
0 days 02:32:38.817000,ALO,14,0 days 00:01:24.357000,63.0,2.0,,,0 days 00:00:30.299000,0 days 00:00:30.304000,0 days 00:00:23.754000,0 days 02:31:44.786000,0 days 02:32:15.090000,0 days 02:32:38.844000,271.0,240.0,244.0,279.0,False,HARD,42.0,True,Alpine,0 days 02:31:14.460000,2022-07-31 14:32:14.838,1,8.0,False,,False,True
0 days 02:34:03.024000,ALO,14,0 days 00:01:24.207000,64.0,2.0,,,0 days 00:00:30.265000,0 days 00:00:30.147000,0 days 00:00:23.795000,0 days 02:33:09.109000,0 days 02:33:39.256000,0 days 02:34:03.051000,272.0,239.0,244.0,280.0,False,HARD,43.0,True,Alpine,0 days 02:32:38.817000,2022-07-31 14:33:39.195,1,8.0,False,,False,True
0 days 02:35:29.266000,ALO,14,0 days 00:01:26.242000,65.0,2.0,,,0 days 00:00:30.307000,0 days 00:00:31.979000,0 days 00:00:23.956000,0 days 02:34:33.358000,0 days 02:35:05.337000,0 days 02:35:29.293000,273.0,235.0,244.0,278.0,False,HARD,44.0,True,Alpine,0 days 02:34:03.024000,2022-07-31 14:35:03.402,1,8.0,False,,False,True
0 days 02:36:53.594000,ALO,14,0 days 00:01:24.328000,66.0,2.0,,,0 days 00:00:30.216000,0 days 00:00:30.241000,0 days 00:00:23.871000,0 days 02:35:59.509000,0 days 02:36:29.750000,0 days 02:36:53.621000,275.0,240.0,245.0,280.0,False,HARD,45.0,True,Alpine,0 days 02:35:29.266000,2022-07-31 14:36:29.644,1,8.0,False,,False,True
0 days 02:38:34.379000,ALO,14,0 days 00:01:40.785000,67.0,2.0,,,0 days 00:00:30.494000,0 days 00:00:39.054000,0 days 00:00:31.237000,0 days 02:37:24.115000,0 days 02:38:03.169000,0 days 02:38:34.406000,273.0,192.0,111.0,279.0,False,HARD,46.0,True,Alpine,0 days 02:36:53.594000,2022-07-31 14:37:53.972,126,8.0,False,,False,False
0 days 02:40:18.390000,ALO,14,0 days 00:01:44.011000,68.0,2.0,,,0 days 00:00:40.267000,0 days 00:00:36.844000,0 days 00:00:26.900000,0 days 02:39:14.673000,0 days 02:39:51.517000,0 days 02:40:18.417000,169.0,219.0,241.0,248.0,False,HARD,47.0,True,Alpine,0 days 02:38:34.379000,2022-07-31 14:39:34.757,671,8.0,False,,False,False
0 days 02:41:50.180000,ALO,14,0 days 00:01:31.790000,69.0,2.0,,,0 days 00:00:32.091000,0 days 00:00:33.367000,0 days 00:00:26.332000,0 days 02:40:50.508000,0 days 02:41:23.875000,0 days 02:41:50.207000,265.0,228.0,241.0,279.0,False,HARD,48.0,True,Alpine,0 days 02:40:18.390000,2022-07-31 14:41:18.768,1,8.0,False,,False,True
0 days 01:03:37.038000,LEC,16,,1.0,1.0,,,,0 days 00:00:31.842000,0 days 00:00:24.069000,,0 days 01:03:13.072000,0 days 01:03:37.151000,263.0,229.0,239.0,246.0,False,MEDIUM,1.0,True,Ferrari,0 days 01:02:05.807000,2022-07-31 13:03:06.185,126,3.0,False,,False,False
0 days 01:05:31.893000,LEC,16,0 days 00:01:54.855000,2.0,1.0,,,0 days 00:00:44.341000,0 days 00:00:38.223000,0 days 00:00:32.291000,0 days 01:04:21.411000,0 days 01:04:59.634000,0 days 01:05:31.925000,209.0,201.0,209.0,86.0,True,MEDIUM,2.0,True,Ferrari,0 days 01:03:37.038000,2022-07-31 13:04:37.416,6,3.0,False,,False,False
0 days 01:07:00.719000,LEC,16,0 days 00:01:28.826000,3.0,1.0,,,0 days 00:00:34.827000,0 days 00:00:30.463000,0 days 00:00:23.536000,0 days 01:06:06.752000,0 days 01:06:37.215000,0 days 01:07:00.751000,268.0,232.0,245.0,239.0,True,MEDIUM,3.0,True,Ferrari,0 days 01:05:31.893000,2022-07-31 13:06:32.271,671,3.0,False,,False,False
0 days 01:08:24.292000,LEC,16,0 days 00:01:23.573000,4.0,1.0,,,0 days 00:00:29.841000,0 days 00:00:30.268000,0 days 00:00:23.464000,0 days 01:07:30.592000,0 days 01:08:00.860000,0 days 01:08:24.324000,277.0,232.0,241.0,293.0,True,MEDIUM,4.0,True,Ferrari,0 days 01:07:00.719000,2022-07-31 13:08:01.097,1,3.0,False,,False,True
0 days 01:09:48.607000,LEC,16,0 days 00:01:24.315000,5.0,1.0,,,0 days 00:00:30.187000,0 days 00:00:30.568000,0 days 00:00:23.560000,0 days 01:08:54.511000,0 days 01:09:25.079000,0 days 01:09:48.639000,275.0,233.0,243.0,280.0,False,MEDIUM,5.0,True,Ferrari,0 days 01:08:24.292000,2022-07-31 13:09:24.670,1,3.0,False,,False,True
0 days 01:11:12.794000,LEC,16,0 days 00:01:24.187000,6.0,1.0,,,0 days 00:00:30.066000,0 days 00:00:30.419000,0 days 00:00:23.702000,0 days 01:10:18.705000,0 days 01:10:49.124000,0 days 01:11:12.826000,273.0,231.0,240.0,282.0,False,MEDIUM,6.0,True,Ferrari,0 days 01:09:48.607000,2022-07-31 13:10:48.985,1,3.0,False,,False,True
0 days 01:12:36.897000,LEC,16,0 days 00:01:24.103000,7.0,1.0,,,0 days 00:00:30.098000,0 days 00:00:30.339000,0 days 00:00:23.666000,0 days 01:11:42.924000,0 days 01:12:13.263000,0 days 01:12:36.929000,274.0,234.0,240.0,278.0,False,MEDIUM,7.0,True,Ferrari,0 days 01:11:12.794000,2022-07-31 13:12:13.172,1,3.0,False,,False,True
0 days 01:14:01.038000,LEC,16,0 days 00:01:24.141000,8.0,1.0,,,0 days 00:00:30.041000,0 days 00:00:30.396000,0 days 00:00:23.704000,0 days 01:13:06.970000,0 days 01:13:37.366000,0 days 01:14:01.070000,276.0,232.0,242.0,280.0,False,MEDIUM,8.0,True,Ferrari,0 days 01:12:36.897000,2022-07-31 13:13:37.275,1,3.0,False,,False,True
0 days 01:15:24.856000,LEC,16,0 days 00:01:23.818000,9.0,1.0,,,0 days 00:00:29.975000,0 days 00:00:30.296000,0 days 00:00:23.547000,0 days 01:14:31.045000,0 days 01:15:01.341000,0 days 01:15:24.888000,274.0,234.0,241.0,282.0,False,MEDIUM,9.0,True,Ferrari,0 days 01:14:01.038000,2022-07-31 13:15:01.416,1,3.0,False,,False,True
0 days 01:16:48.980000,LEC,16,0 days 00:01:24.124000,10.0,1.0,,,0 days 00:00:30.084000,0 days 00:00:30.517000,0 days 00:00:23.523000,0 days 01:15:54.972000,0 days 01:16:25.489000,0 days 01:16:49.012000,275.0,234.0,242.0,280.0,False,MEDIUM,10.0,True,Ferrari,0 days 01:15:24.856000,2022-07-31 13:16:25.234,1,3.0,False,,False,True
0 days 01:18:13.128000,LEC,16,0 days 00:01:24.148000,11.0,1.0,,,0 days 00:00:29.923000,0 days 00:00:30.488000,0 days 00:00:23.737000,0 days 01:17:18.935000,0 days 01:17:49.423000,0 days 01:18:13.160000,276.0,231.0,240.0,282.0,False,MEDIUM,11.0,True,Ferrari,0 days 01:16:48.980000,2022-07-31 13:17:49.358,1,3.0,False,,False,True
0 days 01:19:37.205000,LEC,16,0 days 00:01:24.077000,12.0,1.0,,,0 days 00:00:29.961000,0 days 00:00:30.428000,0 days 00:00:23.688000,0 days 01:18:43.121000,0 days 01:19:13.549000,0 days 01:19:37.237000,,233.0,240.0,280.0,False,MEDIUM,12.0,True,Ferrari,0 days 01:18:13.128000,2022-07-31 13:19:13.506,1,3.0,False,,False,True
0 days 01:21:01.310000,LEC,16,0 days 00:01:24.105000,13.0,1.0,,,0 days 00:00:30.077000,0 days 00:00:30.326000,0 days 00:00:23.702000,0 days 01:20:07.314000,0 days 01:20:37.640000,0 days 01:21:01.342000,274.0,234.0,241.0,281.0,False,MEDIUM,13.0,True,Ferrari,0 days 01:19:37.205000,2022-07-31 13:20:37.583,1,3.0,False,,False,True
0 days 01:22:25.636000,LEC,16,0 days 00:01:24.326000,14.0,1.0,,,0 days 00:00:30.067000,0 days 00:00:30.299000,0 days 00:00:23.960000,0 days 01:21:31.409000,0 days 01:22:01.708000,0 days 01:22:25.668000,,235.0,246.0,282.0,False,MEDIUM,14.0,True,Ferrari,0 days 01:21:01.310000,2022-07-31 13:22:01.688,1,3.0,False,,False,True
0 days 01:23:50.043000,LEC,16,0 days 00:01:24.407000,15.0,1.0,,,0 days 00:00:29.969000,0 days 00:00:30.591000,0 days 00:00:23.847000,0 days 01:22:55.637000,0 days 01:23:26.228000,0 days 01:23:50.075000,277.0,234.0,248.0,294.0,False,MEDIUM,15.0,True,Ferrari,0 days 01:22:25.636000,2022-07-31 13:23:26.014,1,3.0,False,,False,True
0 days 01:25:15.048000,LEC,16,0 days 00:01:25.005000,16.0,1.0,,,0 days 00:00:30.060000,0 days 00:00:30.876000,0 days 00:00:24.069000,0 days 01:24:20.135000,0 days 01:24:51.011000,0 days 01:25:15.080000,275.0,234.0,244.0,295.0,False,MEDIUM,16.0,True,Ferrari,0 days 01:23:50.043000,2022-07-31 13:24:50.421,1,2.0,False,,False,True
0 days 01:26:39.433000,LEC,16,0 days 00:01:24.385000,17.0,1.0,,,0 days 00:00:29.961000,0 days 00:00:30.673000,0 days 00:00:23.751000,0 days 01:25:45.041000,0 days 01:26:15.714000,0 days 01:26:39.465000,,233.0,245.0,,False,MEDIUM,17.0,True,Ferrari,0 days 01:25:15.048000,2022-07-31 13:26:15.426,1,1.0,False,,False,True
0 days 01:28:03.225000,LEC,16,0 days 00:01:23.792000,18.0,1.0,,,0 days 00:00:29.646000,0 days 00:00:30.367000,0 days 00:00:23.779000,0 days 01:27:09.111000,0 days 01:27:39.478000,0 days 01:28:03.257000,274.0,233.0,240.0,289.0,False,MEDIUM,18.0,True,Ferrari,0 days 01:26:39.433000,2022-07-31 13:27:39.811,1,1.0,False,,False,True
0 days 01:29:27.136000,LEC,16,0 days 00:01:23.911000,19.0,1.0,,,0 days 00:00:30.012000,0 days 00:00:30.371000,0 days 00:00:23.528000,0 days 01:28:33.269000,0 days 01:29:03.640000,0 days 01:29:27.168000,,235.0,242.0,276.0,False,MEDIUM,19.0,True,Ferrari,0 days 01:28:03.225000,2022-07-31 13:29:03.603,1,1.0,False,,False,True
0 days 01:30:51.398000,LEC,16,0 days 00:01:24.262000,20.0,1.0,,,0 days 00:00:30.103000,0 days 00:00:30.494000,0 days 00:00:23.665000,0 days 01:29:57.271000,0 days 01:30:27.765000,0 days 01:30:51.430000,,235.0,241.0,,False,MEDIUM,20.0,True,Ferrari,0 days 01:29:27.136000,2022-07-31 13:30:27.514,1,1.0,False,,False,True
0 days 01:32:17.879000,LEC,16,0 days 00:01:26.481000,21.0,1.0,,0 days 01:32:16.167000,0 days 00:00:30.110000,0 days 00:00:30.355000,0 days 00:00:26.016000,0 days 01:31:21.540000,0 days 01:31:51.895000,0 days 01:32:17.911000,,234.0,,275.0,False,MEDIUM,21.0,True,Ferrari,0 days 01:30:51.398000,2022-07-31 13:31:51.776,1,1.0,False,,False,False
0 days 01:33:59.616000,LEC,16,0 days 00:01:41.737000,22.0,2.0,0 days 01:32:37.929000,,0 days 00:00:48.484000,0 days 00:00:29.916000,0 days 00:00:23.337000,0 days 01:33:06.395000,0 days 01:33:36.311000,0 days 01:33:59.648000,271.0,236.0,243.0,,False,MEDIUM,1.0,True,Ferrari,0 days 01:32:17.879000,2022-07-31 13:33:18.257,1,2.0,False,,False,False
0 days 01:35:22.611000,LEC,16,0 days 00:01:22.995000,23.0,2.0,,,0 days 00:00:29.767000,0 days 00:00:29.834000,0 days 00:00:23.394000,0 days 01:34:29.415000,0 days 01:34:59.249000,0 days 01:35:22.643000,272.0,235.0,240.0,278.0,True,MEDIUM,2.0,True,Ferrari,0 days 01:33:59.616000,2022-07-31 13:34:59.994,1,2.0,False,,False,True
0 days 01:36:46.207000,LEC,16,0 days 00:01:23.596000,24.0,2.0,,,0 days 00:00:30.059000,0 days 00:00:30.003000,0 days 00:00:23.534000,0 days 01:35:52.702000,0 days 01:36:22.705000,0 days 01:36:46.239000,275.0,235.0,242.0,280.0,False,MEDIUM,3.0,True,Ferrari,0 days 01:35:22.611000,2022-07-31 13:36:22.989,1,2.0,False,,False,True
0 days 01:38:09.654000,LEC,16,0 days 00:01:23.447000,25.0,2.0,,,0 days 00:00:29.852000,0 days 00:00:30.069000,0 days 00:00:23.526000,0 days 01:37:16.091000,0 days 01:37:46.160000,0 days 01:38:09.686000,276.0,236.0,243.0,,False,MEDIUM,4.0,True,Ferrari,0 days 01:36:46.207000,2022-07-31 13:37:46.585,1,2.0,False,,False,True
0 days 01:39:32.932000,LEC,16,0 days 00:01:23.278000,26.0,2.0,,,0 days 00:00:29.713000,0 days 00:00:30.224000,0 days 00:00:23.341000,0 days 01:38:39.399000,0 days 01:39:09.623000,0 days 01:39:32.964000,,236.0,247.0,282.0,False,MEDIUM,5.0,True,Ferrari,0 days 01:38:09.654000,2022-07-31 13:39:10.032,1,2.0,False,,False,True
0 days 01:40:56.534000,LEC,16,0 days 00:01:23.602000,27.0,2.0,,,0 days 00:00:29.753000,0 days 00:00:30.342000,0 days 00:00:23.507000,0 days 01:40:02.717000,0 days 01:40:33.059000,0 days 01:40:56.566000,277.0,234.0,249.0,295.0,False,MEDIUM,6.0,True,Ferrari,0 days 01:39:32.932000,2022-07-31 13:40:33.310,1,2.0,False,,False,True
0 days 01:42:21.094000,LEC,16,0 days 00:01:24.560000,28.0,2.0,,,0 days 00:00:30.247000,0 days 00:00:30.717000,0 days 00:00:23.596000,0 days 01:41:26.813000,0 days 01:41:57.530000,0 days 01:42:21.126000,272.0,236.0,248.0,299.0,False,MEDIUM,7.0,True,Ferrari,0 days 01:40:56.534000,2022-07-31 13:41:56.912,1,2.0,False,,False,True
0 days 01:43:45.372000,LEC,16,0 days 00:01:24.278000,29.0,2.0,,,0 days 00:00:30.094000,0 days 00:00:30.641000,0 days 00:00:23.543000,0 days 01:42:51.220000,0 days 01:43:21.861000,0 days 01:43:45.404000,274.0,238.0,250.0,296.0,False,MEDIUM,8.0,True,Ferrari,0 days 01:42:21.094000,2022-07-31 13:43:21.472,1,2.0,False,,False,True
